item_date,customer,country,status,item type,application,width,product_ref,delivery date,quantity_tons_log,thickness_log,selling_price_log,Date_difference,item_date_day,item_date_month,item_date_year
2021-03-31,30197899.0,26.0,6.0,1.0,29.0,1172.0,1670798778.0,2021-01-01,4.076512235847619,0.6931471805599453,6.558197802812269,-89,31,3,2021
2021-03-31,30197899.0,26.0,6.0,1.0,29.0,1172.0,1670798778.0,2021-01-01,4.055370487024511,0.6931471805599453,6.54965074223381,-89,31,3,2021
2021-03-31,30394116.0,25.0,1.0,3.0,15.0,1965.0,1671863738.0,2021-03-01,3.3501459710008334,1.6094379124341003,6.51025834052315,-30,31,3,2021
2021-03-31,30149080.0,25.0,1.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,4.633298984708399,0.4054651081081644,6.894670039433482,-30,31,3,2021
2021-03-31,30149080.0,25.0,1.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,3.365358331143753,-0.2876820724517809,6.953684210870537,-30,31,3,2021
2021-03-30,30203120.0,26.0,1.0,3.0,41.0,1500.0,1668701718.0,2021-03-01,2.3275486376594956,0.0,6.882437470997847,-29,30,3,2021
2021-03-30,30205061.0,26.0,1.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,0.8806382042723907,0.0,6.879355804460439,-29,30,3,2021
2021-03-30,30205061.0,26.0,1.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.0214800521876515,0.0,6.882437470997847,-29,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,792.0,628377.0,2021-01-01,3.1659774299430903,-0.12783337150988489,6.5093650845459345,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,828.0,628377.0,2021-01-01,3.1498659092359986,-0.12783337150988489,6.491330330637631,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,884.0,164141591.0,2021-01-01,3.3135344189821234,-0.12783337150988489,6.544918532929596,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,725.0,164141591.0,2021-01-01,3.28383555940795,0.4054651081081644,6.521651524352593,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,725.0,164141591.0,2021-01-01,5.064901874651043,-0.2231435513142097,6.550651671751851,-88,30,3,2021
2021-03-30,30356624.0,84.0,1.0,5.0,79.0,1250.0,1668701718.0,2021-01-01,5.117619366871669,0.4054651081081644,6.748759547491679,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,792.0,628377.0,2021-01-01,4.069356791222605,-0.12783337150988489,6.497378126512952,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,828.0,628377.0,2021-01-01,4.362197080940189,-0.12783337150988489,6.479123892842133,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,884.0,164141591.0,2021-01-01,4.977474900109141,-0.12783337150988489,6.5391523356065395,-88,30,3,2021
2021-03-30,30202053.0,26.0,6.0,1.0,20.0,725.0,164141591.0,2021-01-01,6.011219028882439,0.4054651081081644,6.503838970863823,-88,30,3,2021
2021-03-29,30160378.0,78.0,1.0,5.0,41.0,1248.0,611993.0,2021-03-01,2.004379270827921,-0.6931471805599453,7.1891677384203225,-28,29,3,2021
2021-03-29,30201846.0,25.0,1.0,5.0,10.0,1335.0,1668701718.0,2021-01-01,5.432950672093463,-0.5108256237659907,6.976348070447749,-87,29,3,2021
2021-03-29,30270857.0,78.0,1.0,3.0,25.0,1207.0,628377.0,2021-01-01,4.4139539686845,0.0,6.720220155135295,-87,29,3,2021
2021-03-29,30270857.0,78.0,1.0,3.0,25.0,1207.0,628377.0,2021-01-01,4.19136082977011,-0.2231435513142097,6.733401891837359,-87,29,3,2021
2021-03-29,30203270.0,26.0,1.0,5.0,20.0,725.0,628112.0,2021-01-01,4.164056454151888,0.6931471805599453,6.794586580876499,-87,29,3,2021
2021-03-26,30201589.0,84.0,1.0,3.0,15.0,1530.0,640405.0,2021-01-01,3.445111077066028,1.791759469228055,6.688354713946762,-84,26,3,2021
2021-03-26,30201589.0,84.0,1.0,3.0,15.0,1500.0,640405.0,2021-01-01,3.3174605335461824,1.791759469228055,6.6895992691789665,-84,26,3,2021
2021-03-26,30201589.0,84.0,1.0,3.0,15.0,1500.0,640405.0,2021-01-01,3.5290791645868556,1.791759469228055,6.688354713946762,-84,26,3,2021
2021-03-26,30217269.0,32.0,1.0,3.0,20.0,1067.0,164141591.0,2021-03-01,2.7637382647291107,-0.2231435513142097,7.028201432058005,-25,26,3,2021
